left_shop,left_brand,left_productName,left_price,right_shop,right_brand,right_productName,right_price,label,id
Colruyt,L'OR ESPRESSO,caps Lungo Profondo 8,5.29,Carrefour,L'OR,Koffie Capsules Lungo Profondo Intensiteit 8 Nespresso* Compatibel  20 stuks,6.11,1,1667
Albert Heijn,Nivea,Crème soft douchecrème,3.49,Colruyt,MINI BABYBEL,Proteïne,5.7,0,1668
Colruyt,BOURSIN CUISINE,knoflook&f.kruiden,2.29,Carrefour,Boursin,Cuisine culinaire specialiteit Knoflook & Fijne Kruiden 240 g,2.8,1,1669
Colruyt,FRISTI,rood fruit brik,0.99,Albert Heijn,Fristi,Rood fruit,1.29,0,1670
Colruyt,FRISKIES,kat Adult rund-kip-groenten,11.5,Carrefour,Friskies,met een Lekkere Mix van Rund en Kip en met Groenten 4 kg,12.12,1,1671
Colruyt,SCOTTEX,Kussenzacht,8.89,Carrefour,Scottex,Toiletpapier Kussenzacht 18 Rollen,8.89,1,1672
Colruyt,KINDER,melkschijfje met honing,1.79,Albert Heijn,Ferrero,Kinder melkschijfjes,1.89,1,1673
Carrefour,Dr. Oetker,Ristorante Mozzarella 335 g,2.06,Albert Heijn,Dr. Oetker,Cupcakes,1.49,0,1674
Albert Heijn,Red Band,Duo winegums zoet fris,2.39,Colruyt,EVERYDAY,cake tijgerrol,0.967,0,1675
Colruyt,,Plan de Dieu Caves St.-Pierre 2020,6.99,Carrefour,Nestlé,Groeimelk 3+ Vloeibaar Baby vanaf 3 Jaar 1 L,1.89,0,1676
Carrefour,Oikos,Yoghurt op Griekse Wijze Natuur 0% 480 g,3.39,Colruyt,DANONE OIKOS,Yoghurt 0% natuur,2.99,1,1677
Colruyt,STABILO,pen68 color,19.49,Carrefour,STABILO,20 Viltstiften ColorParade Pen 68,19.49,1,1678
Albert Heijn,Tena,Men level 2,4.79,Colruyt,LU CRACOTTE CRAQUINETTE,chocolade,3.25,0,1679
Carrefour,Meridol,tandvlees tandpasta 75ml,5.85,Colruyt,MERIDOL,tandpasta geirrit.tandvlees,4.99,1,1680
Colruyt,DASH,all in 1 pods regular,12.24,Albert Heijn,AH,Handsinaasappelen,2.99,0,1681
Colruyt,GALBANI,mozzarella de buffala,3.66,Albert Heijn,Galbani,Maxi bufala zak,3.99,1,1682
Carrefour,Ariel,"All-in-1 Pods Original Wasmiddelcapsules, 40 Wasbeurten",21.79,Albert Heijn,Ariel,All-in-1 pods original wascapsules,19.99,1,1683
Albert Heijn,Becel,"Olijf voor koken, bakken & braden",2.99,Carrefour,Becel,Olijf 500 ml,3.45,1,1684
Colruyt,BONI,paaseitjes praliné,4.95,Albert Heijn,AH,Mokkaboontjes,1.39,0,1685
Colruyt,ALPRO,Greek Style haver,2.76,Albert Heijn,Alpro,Dessert vanille,2.19,0,1686
Colruyt,ALPRO,Exotic z. toegevoegde suikers,2.67,Albert Heijn,Alpro,Absolutely coconut naturel,3.49,0,1687
Albert Heijn,Nescafé Dolce Gusto,Koffiecups cafe au lait,3.99,Colruyt,NESCAFÉ DOLCE GUSTO,caps Café lait,3.99,1,1688
Carrefour,Alpro,Dark Choco Amandeldrink 1 L,3.55,Albert Heijn,Alpro,Plantaardige variatie op yoghurt aardbei,2.49,0,1689
Carrefour,NAT,Ontbijtgranen Beer Honing 6 x 32 g,3.79,Colruyt,NAT,bear honey cereal,3.69,1,1690
Carrefour,Lipton,Pyramides Kruidenthee Munt 20 theezakjes,2.75,Albert Heijn,Lipton,Groene thee raspberry pomegranate,1.99,0,1691
Carrefour,Douwe Egberts,Koffie Gemalen Decafe 500 g,7.13,Albert Heijn,Douwe Egberts,Aroma rood koffiebonen voordeelpak,10.99,0,1692
Colruyt,ALPRO,natuur,1.79,Albert Heijn,Alpro,Barista soja,2.19,0,1693
Colruyt,LIPTON,thee Herbal inf.rozenb-framb,2.15,Albert Heijn,Lipton,Green 4-pack,2.69,0,1694
Colruyt,ALPRO,Absolutely kokosnoot ananas,3.49,Albert Heijn,Alpro,Not M*LK Drink Plantaardig & Vol,2.19,0,1695
Colruyt,ALPRO,Greek Style natuur,2.16,Albert Heijn,Alpro,Absolutely coconut naturel,3.49,0,1696
Colruyt,DANONE HIPRO,yoghurt 0% vanille,2.49,Carrefour,HiPRO,om te Lepelen Vanillesmaak met 15 g Proteïne 2 x 160 g,2.7,1,1697
Carrefour,Douwe Egberts,Koffie Gemalen Moka Royal 250 g,3.99,Colruyt,DOUWE EGBERTS,Moka Royal,3.59,1,1698
Colruyt,LIPTON,Ginger & Lemon Bio,2.99,Albert Heijn,Lipton,Green zero,1.49,0,1699
Albert Heijn,Zonnatura,100% rooibos,1.99,Carrefour,Zonnatura,Bio 100% Rooibos 20 Zakjes 31 g,2.41,1,1700
Colruyt,BONI,luiers 4 Maxi 7-18kg,8.34,Albert Heijn,AH,Goudse oud 48+ stuk,7.48,0,1701
Carrefour,Garden Gourmet,Vegan Nuggets 300 g,4.99,Albert Heijn,Garden Gourmet,Sensational mexicaanse stukjes,3.89,0,1702
Carrefour,NAN,Optipro 3 Groeimelk 800g,14.99,Albert Heijn,Nestlé,NAN 3 Optipro BEL,13.19,1,1703
Colruyt,NIVEA,cond. diamond,2.99,Albert Heijn,Nivea,Diamond gloss care conditioner,2.99,1,1704
Carrefour,Nestlé,MIX Bio Ontbijtgranen 174 g,4.12,Albert Heijn,Nestlé,Bros melkchocolade mousse,1.79,0,1705
Colruyt,BONI SELECTION,vochtige doekjes,2.98,Albert Heijn,Zwitsal,Baby crème zeep,1.49,0,1706
Colruyt,ALPRO,mango z. toegevoegde suikers,1.55,Albert Heijn,Alpro,Amandeldrink zonder suikers gekoeld,2.69,0,1707
Albert Heijn,AH,Scharreleieren klasse M,2.49,Colruyt,STIMOROL,Spearmint,3.49,0,1708
Colruyt,ALPRO,natuur,1.89,Albert Heijn,Alpro,Amandeldrink original,2.19,0,1709
Albert Heijn,Optimel,Magere yoghurt aardbei 0% vet,1.99,Colruyt,NESTLÉ PURE LIFE,plat water,0.27,0,1710
Albert Heijn,Lay's,Chips naturel,0.49,Colruyt,BONI BIO,Eieren wit,3.29,0,1711
Colruyt,BAMBIX,groeimelk 1+,1.49,Carrefour,Bambix,Groeimelk 1+ Jaar 1 L,1.74,1,1712
Albert Heijn,L'Oréal,Magic retouch uitgroeispray middenblond,9.99,Colruyt,L'OREAL,Magic Retouch 5 blond,7.86,1,1713
Colruyt,BONI,crisps chips zout,1.05,Carrefour,Nesquik,Cacaopoeder Extra Choco smaak 600 g,4.75,0,1714
Colruyt,LOCTITE,Super Glue Precision,5.65,Carrefour,Loctite,Secondelijm Precision 5g,6.29,1,1715
Albert Heijn,Dr. Oetker,Ristorante pizza quattro formaggi,1.99,Carrefour,Dr. Oetker,Pizza Ristorante Quattro Formaggi 340 g,1.96,1,1716
Colruyt,ORAL-B,tandenborstel pro-exp.pulsar,3.87,Albert Heijn,Oral-B,Pro-Expert pulsar manuel tandenborstel M,6.99,1,1717
Colruyt,BONI,Conference peren,1.39,Carrefour,Carrefour,Bio Varken/Rundsgehakt 0.241 kg,4.46,0,1718
Colruyt,DOUWE EGBERTS,Moka Royal,6.14,Carrefour,Douwe Egberts,Koffie Gemalen Moka Royal 500 g,6.39,1,1719
Albert Heijn,Jupiler,0.0% alcohol vrij,3.79,Colruyt,JUPILER,"0,0% pils",14.25,1,1720
Colruyt,HÄAGEN-DAZS,belgische chocolade,4.63,Albert Heijn,Häagen-Dazs,Belgian chocolate ijs,5.99,1,1721
Albert Heijn,AH,Blauwe bessen,2.59,Colruyt,BONI,prinsessenbonen gesneden,1.92,0,1722
Carrefour,Pacha,Instant Oploscichorei 200 g,4.64,Colruyt,PACHA,oploschicorei,3.79,1,1723
Albert Heijn,Head & Shoulders,Antiroos shampoo menthol fresh,4.99,Colruyt,HEAD&SHOULDERS,shampoo munt,2.49,1,1724
Carrefour,Campina,Slagroom 1 L,5.69,Albert Heijn,Campina,Halfvolle melk houdbaar,0.69,0,1725
Carrefour,Douwe Egberts,Koffie Gemalen Mildou 250 g,3.97,Albert Heijn,Douwe Egberts,Ice cappuccino ijskoffie,1.39,0,1726
Albert Heijn,Quaker,Cruesli 4 noten,4.19,Colruyt,QUAKER,cruesli 4 noten,4.19,1,1727
Colruyt,PHILADELPHIA,bieslook,1.59,Carrefour,Philadelphia,Smeerkaas Bieslook 185 g,1.89,1,1728
Albert Heijn,Arla,Skyr yoghurt naturel,1.99,Carrefour,Arla,Skyr Nature 450 g,2.32,1,1729
Carrefour,Starbucks,"by NESPRESSO Espresso Roast 10 capsules, 57 g",3.99,Albert Heijn,Starbucks,Vanilla bean macchiato,1.99,0,1730
Colruyt,BONNE MAMAN,intense aardbei,3.19,Carrefour,Bonne Maman,Aardbei Intense  335 g,3.37,1,1731
Colruyt,NESTLÉ KITKAT,"10x41,5g",2.62,Albert Heijn,Kitkat,4 finger melkchocolade,2.99,1,1732
Carrefour,Activia,Yoghurt Natuur 0% met Probiotica 8 x 125 g,3.99,Colruyt,DANONE ACTIVIA,yogh. natuur 0%vg,3.79,1,1733
Colruyt,GALBANI,gorgonzola Cremoso,5.45,Carrefour,Galbani,Gorgonzola D.O.P. Cremoso 150 g,5.75,1,1734
Carrefour,Chocovit,Sports & Energy Gevitamineerd 0.5 L,1.19,Colruyt,CHOCOVIT,magere chocomelk glas,1.16,1,1735
Carrefour,Pur Natur,Bio Yoghurt 750 g,2.9,Colruyt,PUR NATUR,yoghurt vol natuur bio,2.8,1,1736
Carrefour,Lipton,Pyramide Groene three Munt 20 zakjes,2.75,Albert Heijn,Lipton,Ice tea lemon,2.49,0,1737
Carrefour,Alpro,Mild & Creamy Natuur 750 g,2,Colruyt,ALPRO,Mild&Creamy natuur,2,1,1738
Colruyt,LIPTON,thee Herbal inf.Morroco mint,0.876,Albert Heijn,Lipton,Groene thee raspberry pomegranate,1.99,0,1739
Carrefour,No Brand,Brusselse Kaas 150 g,3,Colruyt,,Brusselse kaas,3.79,1,1740
Carrefour,Zonnatura,Bio Groene Thee Gember 20 Zakjes 34 g,2.41,Albert Heijn,Zonnatura,Groene thee gember,2.19,1,1741
Colruyt,BECEL PROACTIV,Immune,4.05,Albert Heijn,Nescafé Dolce Gusto,Koffiecups cappuccino,4.39,0,1742
Carrefour,Activia,Yoghurt Natuur 0% met Probiotica 8 x 125 g,3.99,Colruyt,DANONE ACTIVIA,yogh. natuur 0%vg,3.69,1,1743
Colruyt,VEET,waxstrips,8.99,Albert Heijn,Veet,Wasstrips normale huid,7.89,1,1744
Carrefour,Jacques,Cacao 250 g,6.44,Colruyt,VAN HOUTEN JACQUES,cacaopoeder,6.19,1,1745
Colruyt,GALBANI,ricotta,1.79,Albert Heijn,Galbani,Maxi bufala zak,3.99,0,1746
Colruyt,KELLOGG'S,Variety minipacks,2.89,Albert Heijn,Kellogg's,Mini's,3.19,1,1747
Colruyt,DOUWE EGBERTS,espresso pads,4.07,Albert Heijn,Douwe Egberts,Aroma rood koffiebonen voordeelpak,10.99,0,1748
Carrefour,Scottex,Toiletpapier Kussenzacht 18 Rollen,10.05,Colruyt,SCOTTEX,Kussenzacht,9.58,1,1749
Colruyt,BONI BIO,ei vrije uitloop L Belgisch,2.59,Albert Heijn,Nescafé Dolce Gusto,Koffiecups cafe au lait,3.99,0,1750
Colruyt,ALPRO,vanille,1.79,Albert Heijn,Alpro,Amandeldrink original,2.19,0,1751
Albert Heijn,AH,Apfelstrudel,1.99,Colruyt,BONI,sla rucola,1.16,0,1752
Albert Heijn,Raak,Vruchtensiroop multivruchten,1.89,Colruyt,PERSIL,discs universal,13.99,0,1753
Carrefour,Campina,Verse Kaas Mager 2 x 180 g,3.15,Albert Heijn,Campina,Milde magere kwark,2.79,0,1754
Albert Heijn,Pampers,Baby-dry luiers maat 4 carrypack,9.39,Colruyt,FA MEN,douche Extreme Cool,1.67,0,1755
Albert Heijn,Ariel,Kleur & stijl vloeibaar wasmiddel,8.49,Colruyt,CAMPINA,volle melk PET,0.96,0,1756
Colruyt,DOUWE EGBERTS,caps Lungo 6 dessert,7.99,Albert Heijn,Douwe Egberts,Aroma rood filterkoffie,3.19,0,1757
Colruyt,KNORR,Professional demi-glace,5.38,Albert Heijn,Knorr,Veggie wraps 35% wortel,2.79,0,1758
Colruyt,OREO,koeken Milk Choc,1.79,Albert Heijn,Oreo,Koekjes omhuld met melkchocolade,1.69,1,1759
Carrefour,Nestlé,Groeimelk 1+ vanaf 1 Jaar Maxi Pack 8 x 1 L,15.12,Albert Heijn,Nestlé,Bros melkchocolade mousse,1.79,0,1760
Colruyt,ALPRO,Barista haverdrink,1.75,Albert Heijn,Alpro,Amandeldrink original,2.19,0,1761
Albert Heijn,Kellogg's,Mini's,2.99,Carrefour,Kellogg's,Variety 8 Mini Packs 215 g,3.63,1,1762
Colruyt,,Witte selder,0.89,Albert Heijn,AH,Bleekselderij,0.99,1,1763
Albert Heijn,Magnum,Pint classic ijs,4.69,Colruyt,OLA MAGNUM,classic roomijs,4.39,1,1764
Colruyt,DEVOS LEMMENS,saus cockt.light TD,2.49,Albert Heijn,D&L,Cocktail light,2.49,1,1765
Colruyt,DANONE OIKOS,volle yoghurt natuur,3.45,Carrefour,Oikos,Yoghurt op Griekse Wijze Natuur 480 g,3.65,1,1766
Colruyt,BONI,paardenfilet sneetjes,2.98,Albert Heijn,AH,Verse pestosaus groen,2.39,0,1767
Carrefour,Alpro,Mango Plantaardig voor Yoghurt Zonder Toegevoegde Suikers 400 g,2.84,Colruyt,ALPRO,mango z. toegevoegde suikers,1.55,1,1768
Colruyt,BONI,pizza Rondo di Roma,3.99,Albert Heijn,Remia,Salata croutonmixen Italiaans,2.69,0,1769
Albert Heijn,Finish,Machinereiniger,2.79,Colruyt,BONI BIO,kruiden spaghetti,3.44,0,1770
Albert Heijn,Vitelma,Smeerbaar zo lekker & light,0.99,Colruyt,VITELMA,light smeren,0.99,1,1771
Albert Heijn,Elmex,Anti-Cariës tandpasta,3.49,Colruyt,ELMEX,tandpasta anti-cariës,3.69,1,1772
Carrefour,Nestlé,Geëvaporeerde Melk Vol 7.5% VG 385 ml,2.44,Colruyt,EVERYDAY,eetappelen,2.48,0,1773
Albert Heijn,AH,Chorizo,2.15,Colruyt,M&M'S,Peanut Pouch,3.02,0,1774
Colruyt,BONI,Belgisch ei vrije uitloop M,3.17,Albert Heijn,Château Lavergne,Lavergne,3.99,0,1775
Colruyt,ERES,Inox-Protect spray,7.45,Albert Heijn,AH,Zalmfilet,13.91,0,1776
Albert Heijn,Alpro,Cooking,1.79,Colruyt,BONI,meloen Charentais,2.99,0,1777
Carrefour,Starbucks,"by NESPRESSO House Blend 10 capsules, 57 g",3.99,Albert Heijn,Starbucks,Nespresso koffiecups house blend,3.69,1,1778
Carrefour,Alpro,Blauwe Bosbes Plantaardig Alternatief voor Yoghurt 500 g,2.65,Albert Heijn,Alpro,Plantaardige variatie op yoghurt bosbes,2.49,1,1779
Carrefour,Listerine,Advanced White Mondspoeling Clean Mint 500 ml,7.95,Albert Heijn,Listerine,Advanced white,6.79,1,1780
Carrefour,Signal,Integral 8 Tandpasta White 75 ml,1.84,Colruyt,SIGNAL,Integral 8 White tandpasta,1.74,1,1781
Albert Heijn,Head & Shoulders,Antiroos shampoo menthol fresh,4.49,Colruyt,HEAD&SHOULDERS,shampoo munt,3.56,1,1782
Colruyt,ELMEX,tandpasta kinderen 2-6J,2.99,Carrefour,Elmex,tandpasta kind 2-6 jaar 50 ml,3.49,1,1783
Colruyt,RIO MARE,makr. gegrild olijfolie EV,3.35,Albert Heijn,Rio Mare,Gegrilde makreel in olijfolie msc,2.49,0,1784
Colruyt,CÔTE D'OR,tabl.pral.double noisette,2,Albert Heijn,Côte d'Or,Bonbonbloc melk hazelnoot chocolade reep,2.99,1,1785
Carrefour,Galbani,Mozzarella Mini 150 g,2.1,Albert Heijn,Galbani,Maxi bufala zak,3.99,0,1786
Carrefour,Arla,Skyr Nature 450 g,2.32,Albert Heijn,Arla,Skyr yoghurt naturel,1.99,1,1787
Carrefour,Bic,2 Potloden Graphite Gilbert 33 HB N°2,0.79,Colruyt,,gele paprika's Los,2.99,0,1788
Carrefour,Alpro,Kokosnootdrink 1 L,2.59,Albert Heijn,Alpro,Not M*LK Drink Plantaardig & Halfvol,1.99,0,1789
Carrefour,Campina,Volle Room 250 g,5.05,Albert Heijn,Campina,Langlekker halfvolle melk,1.15,0,1790
Carrefour,LU,"BelVita Ontbijtkoeken Hazelnoten, Chocolade & Honing 300 g",2.44,Colruyt,LU BELVITA,Ontb.koek hon-cho-hazel,2.39,1,1791
Albert Heijn,Princes,Tonijnmoot in zonnebloemolie z uitlekken,2.19,Colruyt,BONI BIO,muesli,4.99,0,1792
Carrefour,Activia,Yoghurt Natuur met Probiotica 8 x 125 g,2.8,Colruyt,DANONE ACTIVIA,yoghurt vol natuur,2.78,1,1793
Colruyt,ALPRO,natuur,1.24,Albert Heijn,Alpro,Barista coconut,2.89,0,1794
Colruyt,BONI,kikkererwten,1.9,Albert Heijn,Roosvicee,Multivit perzik,1.99,0,1795
Carrefour,Campina,Lichte Culinaire Room 20% Vet 2 x 250 ml,3.65,Colruyt,CAMPINA,room culinair 20%vg PET,1.62,1,1796
Carrefour,Alpro,Blauwe Bosbes Plantaardig Alternatief voor Yoghurt 500 g,2.75,Albert Heijn,Alpro,Sojadrink choco,1.99,0,1797
Colruyt,,Diable rose AOC Saint-Mont,4.95,Albert Heijn,,Lasagne pakket compleet,10.42,0,1798
Albert Heijn,Coca-Cola,Zero sugar,10.19,Colruyt,COCA-COLA,Zero Sugar,1.69,1,1799
Colruyt,KNORR,saus peperroom Brik,1.59,Albert Heijn,Knorr,Roomsaus peper,1.69,1,1800
Colruyt,PEPSI MAX,cola,0.466,Albert Heijn,Pepsi,Max 6-pack,3.29,1,1801
Colruyt,FRISTI,rood fruit brik,1.19,Albert Heijn,Fristi,Rood fruit,0.99,1,1802
Carrefour,Douwe Egberts,Koffie Pads Dessert 32 Stuks,3.48,Colruyt,DOUWE EGBERTS,Dessert pads,3.32,1,1803
Carrefour,Quaker,Havermout Granola Naturel 450 gr,3.07,Albert Heijn,Quaker,Havermout granola naturel,2.19,1,1804
Carrefour,Alpro,Kers Plantaardig Alternatief voor Yoghurt 500 g,2.4,Colruyt,ALPRO,kers,2.19,1,1805
Colruyt,BONI,wortelen,1.48,Albert Heijn,AH,Biefstukworst plakjes,2.36,0,1806
Colruyt,HAK,schorseneren,1.99,Albert Heijn,Hak,Rode bieten schijven zoetzuur,1.19,0,1807
Carrefour,Cécémel,0.75 L,1.86,Colruyt,CÉCÉMEL,glas,1.85,1,1808
Carrefour,Alpro,Exotic Plantaardig Alternatief Zonder Toegevoegde Suikers 400 g,2.55,Albert Heijn,Alpro,Sojadrink original,1.09,0,1809
Albert Heijn,Nivea,Dry comfort anti-transpirant roller,2.89,Colruyt,NIVEA,deo Dry Comfort Plus roller,2.84,1,1810
Albert Heijn,Nature Valley,Protein salted caramel & pinda repen,2.99,Colruyt,NATURE VALLEY,prot.gez.kar.noten GV,2.99,1,1811
Colruyt,ALPRO,Absolutely kokosnoot natuur,2.18,Albert Heijn,Alpro,Haver groeidrink,2.29,0,1812
Carrefour,Carlsbourg,Gekarnde Boter met Zeezout 250 g,3.45,Colruyt,CARLSBOURG,karneboter gezouten,3.39,1,1813
Colruyt,,Granny Smith appel,2.49,Albert Heijn,Perla Biologisch,Classic roast pads,3.99,0,1814
Albert Heijn,AH,Keukenzout met jodium,0.29,Colruyt,JOZO,fijn keukenzout met jodium,1.35,1,1815
Colruyt,DANONE OIKOS,volle yoghurt natuur,3.25,Carrefour,Oikos,Yoghurt op Griekse Wijze Natuur 480 g,3.65,1,1816
Carrefour,Alpro,Not MLK Plantaardige Drink Vol 3.5% 1 L,2.05,Albert Heijn,Alpro,Cuisine light,1.89,0,1817
Carrefour,Douwe Egberts,Koffie Gemalen  Dessert 250g,3.76,Colruyt,DOUWE EGBERTS,dessert,3.29,1,1818
Albert Heijn,Iglo,BC Witloofgratin,3.29,Colruyt,IGLO,witloof gratin,3.29,1,1819
Colruyt,CÉRÉAL,abrikoos & perzik,3.28,Carrefour,Céréal,Abrikoos & Perzik 270 g,3.48,1,1820
Colruyt,FAIREBEL,volle chocomelk brik,1.02,Carrefour,Fairebel,Volle Melk met Chocoladesmaak 33 cl,1.07,1,1821
Carrefour,Campina,Verse Kaas Mager 500 g,3.45,Albert Heijn,Campina,Botergoud grasboter gezouten,2.99,0,1822
Albert Heijn,Lipton,Ice tea perzik,5.69,Colruyt,LIPTON,Ice Tea Peach,0.59,1,1823
Colruyt,LISTERINE,coolmint,4.12,Carrefour,Listerine,Cool Mint Mondspoeling New Format +20% 600 ml,5.79,1,1824
Colruyt,ALWAYS,inlegkruisjes long plus,4.99,Albert Heijn,Always,Dailies long plus inlegkruisjes,4.99,1,1825
Colruyt,BEEMSTER,extra belegen sneetjes,4.98,Albert Heijn,Beemster,Jong belegen plak,3.99,0,1826
Colruyt,NESTLÉ NESQUIK,Cereal Bio,4.39,Carrefour,Nesquik,Ontbijtgranen Chocolade BIO 375 g,4.57,1,1827
Colruyt,DANONE,fruit v.hier yogh.aardbei,2.79,Carrefour,Danone,Fruit van Hier Volle Yoghurt Aardbei 4 x 125 g,2.9,1,1828
Albert Heijn,AH,Gerookte makreel,3.64,Colruyt,GILLETTE,Venus Coconut vervangmesjes,23.49,0,1829
Colruyt,BONI,melkbroodjes,1.45,Albert Heijn,Gourmet,Nature's creations rund kattenvoer nat,0.99,0,1830
Colruyt,ALPRO,Absolutely kokosnoot natuur,2.18,Albert Heijn,Alpro,Amandeldrink zonder suikers gekoeld,2.69,0,1831
Carrefour,Campina,Halfvolle Weidemelk 500 ml,0.88,Albert Heijn,Campina,Volle milde kwark,1.99,0,1832
Carrefour,Alpro,Ijs Amandel - Salted Karamel 500 ml,5.85,Albert Heijn,Alpro,Mild & creamy limoen-citroen,2.99,0,1833
Albert Heijn,Blije Kip,Biologische eieren,4.99,Colruyt,LIPTON,Green tea Bright citrus,2.15,0,1834
Colruyt,IGLO,Kombinos broccoli MSC,8.99,Albert Heijn,Iglo,Vissticks glutenvrij,4.99,0,1835
Carrefour,Alpro,Greek Style Natuur 400 g,2.29,Colruyt,ALPRO,Greek Style natuur,1.43,1,1836
Colruyt,NALU,energiedrank,0.96,Albert Heijn,Nalu,Energy,5.99,1,1837
Colruyt,IGLO,gehakte spinazie roomsaus,2.22,Albert Heijn,Iglo,Oven visburger licht gepaneerd,4.99,0,1838
Carrefour,Colgate,Total Whitening tandpasta 75ml,2.81,Albert Heijn,Colgate,Total whitening tandpasta,2.49,1,1839
Colruyt,ALPRO,Absolutely kokosnoot natuur,3.49,Albert Heijn,Alpro,Not M*LK Drink Plantaardig & Halfvol,1.99,0,1840
Colruyt,STARBUCKS,cappuccino,1.59,Albert Heijn,Starbucks,Chilled Classic Caffe Latte Seattle,1.79,0,1841
Colruyt,DUVEL,"blond 6,66%",9.28,Albert Heijn,Duvel,666,6.19,1,1842
Carrefour,Charles Liégeois,Magnifico 30 Stuks 240 g,4.08,Colruyt,CHARLES LIÉGEOIS,pads Magnifico,3.85,1,1843
Carrefour,Boursin,Cuisine culinaire specialiteit Tomaat & Mediterrane Kruiden 240 g,4.45,Colruyt,BOURSIN CUISINE,tomaat&med.kruiden,4.29,1,1844
Colruyt,DOUWE EGBERTS,Dessert pads,3.48,Carrefour,Douwe Egberts,Koffie Pads Dessert 32 Stuks,3.69,1,1845
Colruyt,CAMPINA,volle melk PET,1.32,Albert Heijn,Campina,Dubbelvla chocolade-vanille,1.69,0,1846
Carrefour,Danette,Dessert Crème Vanillesmaak 4 x 125 g,1.7,Colruyt,DANONE DANETTE,crème vanille,1.59,1,1847
Carrefour,Fairebel,Volle Melk Origineel 6 x 1 L,7.35,Colruyt,FAIREBEL,volle melk brik,1.19,1,1848
Colruyt,GARDEN GOURMET,Vegetarische burgers,11.69,Albert Heijn,Garden Gourmet,Vegetarische burger,2.69,0,1849
Albert Heijn,Starbucks,Nespresso koffiecups dark espresso roast,3.69,Carrefour,Starbucks,"by NESPRESSO Espresso Roast 10 capsules, 57 g",3.99,1,1850
Colruyt,MUTTI,tomatenpulp met knoflook,0.835,Albert Heijn,Mutti,Pesto van oranje tomaten,3.19,0,1851
Albert Heijn,AH,Broccoli,0.89,Colruyt,,broccoli,0.99,1,1852
Carrefour,Lotus Biscoff,The Original Speculoos Crunchy Pasta 400 g,3.11,Colruyt,LOTUS,pasta speculoos crunchy,2.39,1,1853
Colruyt,STARBUCKS,caps Decaf Espresso Roast,3.24,Albert Heijn,Starbucks,Chilled classic cappuccino,1.59,0,1854
Albert Heijn,Alpro,Plantaardige variatie op yoghurt vanille,1.99,Colruyt,ALPRO,vanille,1.24,1,1855
Colruyt,CHAUMES,kaas zacht 9 sneetjes,4.25,Carrefour,Chaumes,Sneetjes 150 g,4.99,1,1856
Colruyt,DOUWE EGBERTS,Superior Blend Black,3.99,Carrefour,Douwe Egberts,Koffie Gemalen Black 250 g,4.55,1,1857
Albert Heijn,Alpro,Cuisine,1.79,Colruyt,ALPRO CUISINE,soya 14 % V.G.,1.79,1,1858
Colruyt,BONI,zachte brokjes mini chicken,3.99,Albert Heijn,Nivea,Crème care douchecrème,3.59,0,1859
Albert Heijn,Becel,Original bakboter met omega 3,2.29,Carrefour,Becel,Vloeibaar Margarine Original 500 ml,2.81,1,1860
Carrefour,Benecol,Natuur 8 x 67.5 g,7.09,Colruyt,BENECOL,drinkyoghurt natuur,6.85,1,1861
Colruyt,NUTELLA,chocopasta,4.46,Albert Heijn,Nutella,Hazelnootpasta,3.39,0,1862
Albert Heijn,AH,Frambozen,3.99,Colruyt,,frambozen,1.79,1,1863
Albert Heijn,Château Lavergne,Lavergne,3.99,Colruyt,DIADERMINE,reinigingsmelk,2.78,0,1864
Colruyt,STARBUCKS,caps Caramel Macchiato,4.49,Albert Heijn,Starbucks,Dolce gusto caramel macchiato,4.49,1,1865
Albert Heijn,AH,Magere melk houdbaar,4.69,Colruyt,NIVEA,douche Waterlily/Pure Fresh,2.62,0,1866
Colruyt,ALPRO,vanille-ijs,4.99,Albert Heijn,Alpro,Sojadrink light,1.39,0,1867
Albert Heijn,Sensodyne,Repair & protect whitening tandpasta,4.99,Colruyt,SENSODYNE REPAIR & PROTECT,White,3.77,1,1868
Colruyt,KINDER SURPRISE,Pets2,2.29,Albert Heijn,Kinder,Surprise T3,2.29,1,1869
Carrefour,Danone,Fruit Volle Yoghurt Fruitmix 12 x 125g,4.15,Albert Heijn,Danone,Danette vanille,1.59,0,1870
Colruyt,LIPTON,Ice Tea Green,0.69,Albert Heijn,Lipton,Green ice tea,5.69,1,1871
Carrefour,Dr. Oetker,Pizza Ristorante Margherita 295 g,2.98,Albert Heijn,Dr. Oetker,Kleurstoffen blauw geel rood,2.49,0,1872
Carrefour,Lindahls,Kvarg Proteindrink Aardbeismaak 341 g,1.94,Albert Heijn,Lindahls,Kvarg frambozensmaak,2.89,0,1873
Colruyt,PUR NATUR,yoghurt vol nat.bio glas,1.79,Albert Heijn,Pur Natur,Biologische yoghurt,1.79,1,1874
Colruyt,HEAD&SHOULDERS,shampoo munt,3.2,Albert Heijn,Head & Shoulders,Antiroos shampoo menthol fresh,4.99,1,1875
Carrefour,Dr. Oetker,Ristorante Piccolissima Tre Formaggi,3.89,Albert Heijn,Dr. Oetker,Ristorante mini pizza tre formaggi,2.99,1,1876
Colruyt,CAMPINA,yoghurt aardbei,1.39,Albert Heijn,Campina,Botergoud grasboter gezouten,2.99,0,1877
Albert Heijn,Colgate,Max white one tandpasta,2.99,Colruyt,AÏKI,noodles curry,1.19,0,1878
